display_first_last,team_name,jersey,position,height,weight,rosterstatus,from_year,to_year
Matt Mooney,,,Guard,6-2,199,Inactive,2019,2021
Andre Moore,Nuggets,53,Forward,6-9,215,Inactive,1987,1987
Ben Moore,Pacers,26,Forward,6-8,220,Inactive,2017,2018
E'Twaun Moore,Suns,55,Guard,6-3,191,Inactive,2011,2020
Jackie Moore,Warriors,4-14,Forward,6-5,180,Inactive,1954,1956
Johnny Moore,Spurs,0,Guard,6-1,175,Inactive,1980,1989
Lowes Moore,Nets,13,Guard,6-1,170,Inactive,1980,1982
Mikki Moore,Pistons,31,Forward-Center,7-0,225,Inactive,1998,2011
Otto Moore,Pistons,34,Center,6-11,205,Inactive,1968,1976
Ron Moore,Pistons,53,Center,7-0,260,Inactive,1987,1987
Tracy Moore,,,Guard,6-4,200,Inactive,1991,1996
Wendell Moore Jr.,Timberwolves,7,Guard,6-5,215,Active,2022,2023
Ja Morant,Grizzlies,12,Guard,6-2,174,Active,2019,2023
Eric Moreland,Pistons,15,Forward-Center,6-10,238,Inactive,2014,2018
Jackie Moreland,Pistons,15,Forward,6-7,215,Inactive,1960,1964
Guy Morgan,Pacers,35,Guard,6-8,205,Inactive,1982,1982
Juwan Morgan,Celtics,16,Forward,6-7,232,Inactive,2019,2021
Elmo Morgenthaler,Warriors,17,Center,6-9,230,Inactive,1946,1948
Darren Morningstar,Mavericks,55,Center,6-10,235,Inactive,1993,1993
Chris Morris,Nets,34,Forward,6-8,228,Inactive,1988,1998
Darius Morris,Lakers,14,Guard,6-4,195,Inactive,2011,2014
Isaiah Morris,Pistons,35,Forward,6-8,229,Inactive,1992,1992
Jaylen Morris,,,Guard,6-5,185,Inactive,2017,2021
Markieff Morris,Mavericks,13,Forward,6-9,245,Active,2011,2023
Max Morris,Redskins,,Forward,6-2,195,Inactive,1949,1949
Monte Morris,Wizards,22,Guard,6-2,183,Active,2017,2023
Randolph Morris,Hawks,33,Center,6-11,275,Inactive,2006,2009
Terence Morris,,,,,,Inactive,2001,2008
Adam Morrison,Bobcats,6,Forward,6-8,205,Inactive,2006,2009
Mike Morrison,Suns,32,Guard,6-4,195,Inactive,1989,1989
